,word,output0,output1,output2,output3,output0_label,output1_label,output2_label,output3_label
0,@geryon,0.0,0.0,0.03,0.0,0,0,1,0
1,aand,0.0,0.0,0.0,0.01,0,0,0,1
2,aaron,0.0,0.0,0.0,0.03,0,0,0,2
3,abalone,0.0,0.03,0.0,0.0,0,1,0,0
4,abandon,0.19,0.26,0.28,0.07,16,10,11,5
5,abandoned,0.19,0.26,0.28,0.07,16,10,11,5
6,abandoning,0.19,0.26,0.28,0.07,16,10,11,5
7,abandonment,0.19,0.26,0.28,0.07,16,10,11,5
8,abandons,0.19,0.26,0.28,0.07,16,10,11,5
9,abashed,0.0,0.03,0.0,0.0,0,1,0,0
10,abbaabba,0.0,0.0,0.0,0.01,0,0,0,1
11,abbey,0.0,0.0,0.0,0.03,0,0,0,2
12,abbeys,0.0,0.0,0.0,0.03,0,0,0,2
13,abbot,0.01,0.0,0.0,0.01,1,0,0,1
14,abbots,0.01,0.0,0.0,0.01,1,0,0,1
15,abbreviated,0.0,0.0,0.0,0.03,0,0,0,2
16,abbreviation,0.0,0.0,0.0,0.03,0,0,0,2
17,abc,0.01,0.0,0.0,0.0,1,0,0,0
18,abdomen,0.0,0.05,0.0,0.0,0,2,0,0
19,abducted,0.0,0.03,0.0,0.0,0,1,0,0
20,abecedarian,0.04,0.0,0.0,0.0,3,0,0,0
21,abecedarium,0.06,0.0,0.0,0.0,5,0,0,0
22,abeyance,0.0,0.0,0.0,0.01,0,0,0,1
23,abhorrent,0.0,0.03,0.0,0.0,0,1,0,0
24,abide,0.05,0.0,0.03,0.01,4,0,1,1
25,abiding,0.05,0.0,0.03,0.01,4,0,1,1
26,abilities,0.25,0.18,0.36,0.25,21,7,14,17
27,ability,0.25,0.18,0.36,0.25,21,7,14,17
28,abiogenesis,0.01,0.0,0.0,0.0,1,0,0,0
29,abject,0.0,0.03,0.0,0.0,0,1,0,0
30,able,0.13,0.16,0.36,0.13,11,6,14,9
31,ably,0.01,0.0,0.0,0.0,1,0,0,0
32,abnormal,0.01,0.05,0.0,0.0,1,2,0,0
33,abnormality,0.01,0.05,0.0,0.0,1,2,0,0
34,aboard,0.05,0.03,0.0,0.0,4,1,0,0
