Journal,Pub. Year,Pub. Date,Reviewer,Reviewer Gender,Book,Author,Author Gender,Press,Link
Boxcar Poetry Review,12,Fall 2012,Katherine Hoerth,Female,The Organ Builder,Austin MacRae,Male,Dos Madres Press,http://www.boxcarpoetry.com/031/review_austin_macrae_hoerth.html
Boxcar Poetry Review,12,Summer 2012,Taylor Rickett,Male,Shahid Reads His Own Palm,Reginald Dwayne Betts,Male,Alice James Books,http://www.boxcarpoetry.com/030/review_reginald_dwayne_betts_rickett.html
Boxcar Poetry Review,12,Summer 2012,Katie Schmid,Female,Voices Through Skin,Theresa Senato Edwards,Female,Sibling Rivalry Press,http://www.boxcarpoetry.com/030/review_theresa_senato_edwards_schmid.html
Boxcar Poetry Review,13,Summer 2013,Nicholas Geisler,Male,Gust,Greg Alan Brownderville,Male,Triquarterly,http://www.boxcarpoetry.com/032/review_greg_brownderville_geisler.html
Colorado Review,12,2012,Daniel Manuel Mendoza,Male,A Penance,C.J. Evans,Male,New Issues Poetry & Prose,http://coloradoreview.colostate.edu/reviews/a-penance/
Colorado Review,12,2012,Timothy David Orme,Male,Enigma and Light,David Mutschlecner,Male,Ahsahta Press,http://coloradoreview.colostate.edu/reviews/enigma-and-light/
Colorado Review,12,2012,Kristina Marie Darling,Female,Grammar,Elizabeth Savage,Female,Furniture Press Books,http://coloradoreview.colostate.edu/reviews/grammar/
Colorado Review,12,2012,Caitlin Mackenzie,Female,Kindertotenwald,Franz Wright,Male,Knopf,http://coloradoreview.colostate.edu/reviews/kindertotenwald/
Colorado Review,12,2012,Kristina Marie Darling,Female,Second Nature,Jack Collom,Male,Instance Press,http://coloradoreview.colostate.edu/reviews/second-nature/
Colorado Review,12,2012,Lori A. May,Female,Listening for Earthquakes,Jasmine Dreame Wagner,Female,Caketrain,http://coloradoreview.colostate.edu/reviews/listening-for-earthquakes/
Colorado Review,12,2012,Robert Huddleston,Male,Place: New Poems,Jorie Graham,Female,Ecco Press,http://coloradoreview.colostate.edu/reviews/place-new-poems/
